Date,AGG,DBC,VTI,^VIX
2007-01-03,99.91000366210938,23.799999237060547,69.9749984741211,12.039999961853027
2007-01-04,100.12000274658203,23.18000030517578,70.11499786376953,11.510000228881836
2007-01-05,100.05000305175781,23.100000381469727,69.55999755859375,12.140000343322754
2007-01-08,100.11000061035156,23.219999313354492,69.81500244140625,12.0
2007-01-09,100.11000061035156,23.020000457763672,69.81500244140625,11.90999984741211
2007-01-10,100.0,22.68000030517578,69.97000122070312,11.470000267028809
2007-01-11,99.80999755859375,22.649999618530273,70.5,10.869999885559082
2007-01-12,99.66999816894531,23.18000030517578,70.96499633789062,10.149999618530273
2007-01-16,99.80000305175781,22.649999618530273,70.83000183105469,10.739999771118164
2007-01-17,99.73999786376953,22.850000381469727,70.87999725341797,10.59000015258789
2007-01-18,99.87999725341797,22.610000610351562,70.5,10.850000381469727
2007-01-19,99.83999633789062,22.950000762939453,70.7750015258789,10.399999618530273
2007-01-22,99.88999938964844,22.969999313354492,70.49500274658203,10.770000457763672
2007-01-23,99.69999694824219,23.700000762939453,70.69499969482422,10.34000015258789
2007-01-24,99.66999816894531,23.5,71.31999969482422,9.890000343322754
2007-01-25,99.54000091552734,23.290000915527344,70.5199966430664,11.220000267028809
2007-01-26,99.52999877929688,23.579999923706055,70.4749984741211,11.130000114440918
2007-01-29,99.4000015258789,23.100000381469727,70.48999786376953,11.449999809265137
2007-01-30,99.55000305175781,23.739999771118164,70.8949966430664,10.960000038146973
2007-01-31,99.62999725341797,23.989999771118164,71.41000366210938,10.420000076293945
2007-02-01,99.29000091552734,23.899999618530273,71.81999969482422,10.3100004196167
2007-02-02,99.43000030517578,24.209999084472656,71.91000366210938,10.079999923706055
2007-02-05,99.58999633789062,24.1299991607666,71.99500274658203,10.550000190734863
2007-02-06,99.77999877929688,24.010000228881836,72.0,10.649999618530273
2007-02-07,99.9000015258789,23.719999313354492,72.23500061035156,10.319999694824219
2007-02-08,99.95999908447266,24.270000457763672,72.1449966430664,10.4399995803833
2007-02-09,99.7300033569336,24.420000076293945,71.5999984741211,11.100000381469727
2007-02-12,99.62999725341797,23.959999084472656,71.34500122070312,11.609999656677246
2007-02-13,99.62000274658203,24.399999618530273,71.94999694824219,10.34000015258789
2007-02-14,100.0,24.06999969482422,72.43000030517578,10.229999542236328
2007-02-15,100.13999938964844,24.06999969482422,72.44499969482422,10.220000267028809
2007-02-16,100.20999908447266,24.489999771118164,72.49500274658203,10.020000457763672
