Date,VTI,AGG,DBC,^VIX
2020-01-02,156.19300842285156,104.03916931152344,15.874154090881348,12.470000267028809
2020-01-03,155.19891357421875,104.34392547607422,16.063013076782227,14.020000457763672
2020-01-06,155.7291259765625,104.26080322265625,16.09283447265625,13.850000381469727
2020-01-07,155.35992431640625,104.1500015258789,16.08289337158203,13.789999961853027
2020-01-08,156.126708984375,104.02994537353516,15.84433364868164,13.449999809265137
2020-01-09,157.1018829345703,104.1407470703125,15.77475357055664,12.539999961853027
2020-01-10,156.64744567871094,104.3161849975586,15.77475357055664,12.5600004196167
2020-01-13,157.71728515625,104.25155639648438,15.655473709106445,12.319999694824219
2020-01-14,157.63206481933594,104.34392547607422,15.725053787231445,12.390000343322754
2020-01-15,158.0202178955078,104.50083923339844,15.645533561706543,12.420000076293945
2020-01-16,159.3740692138672,104.50083923339844,15.625654220581055,12.319999694824219
2020-01-17,159.7716827392578,104.38080596923828,15.67535400390625,12.100000381469727
2020-01-21,159.4308624267578,104.67628479003906,15.585894584655762,12.850000381469727
2020-01-22,159.52552795410156,104.73168182373047,15.377154350280762,12.90999984741211
2020-01-23,159.70545959472656,104.87020111083984,15.24793529510498,12.979999542236328
2020-01-24,158.19064331054688,105.06405639648438,15.019314765930176,14.5600004196167
2020-01-27,155.81436157226562,105.38723754882812,14.740995407104492,18.229999542236328
2020-01-28,157.31964111328125,105.2948989868164,14.810575485229492,16.280000686645508
2020-01-29,157.21548461914062,105.53498077392578,14.740995407104492,16.389999389648438
2020-01-30,157.59417724609375,105.54421997070312,14.611775398254395,15.489999771118164
2020-01-31,154.81077575683594,105.85811614990234,14.4924955368042,18.84000015258789
2020-02-03,156.174072265625,105.82390594482422,14.224116325378418,17.969999313354492
2020-02-04,158.6356201171875,105.47229766845703,14.243996620178223,16.049999237060547
2020-02-05,160.19772338867188,105.31497192382812,14.462676048278809,15.149999618530273
2020-02-06,160.6427001953125,105.3797378540039,14.522315979003906,14.960000038146973
2020-02-07,159.724365234375,105.68511199951172,14.442795753479004,15.470000267028809
2020-02-10,160.89828491210938,105.8053970336914,14.313575744628906,15.039999961853027
2020-02-11,161.34327697753906,105.67586517333984,14.363275527954102,15.180000305175781
2020-02-12,162.35629272460938,105.5647964477539,14.5620756149292,13.739999771118164
2020-02-13,162.29000854492188,105.63883972167969,14.572015762329102,14.149999618530273
2020-02-14,162.55511474609375,105.7498779296875,14.5620756149292,13.680000305175781
2020-02-18,162.17640686035156,105.88865661621094,14.671416282653809,14.829999923706055
2020-02-19,163.0000762939453,105.86093139648438,14.810575485229492,14.380000114440918
2020-02-20,162.50775146484375,106.1014404296875,14.750935554504395,15.5600004196167
2020-02-21,160.8415069580078,106.3143081665039,14.691295623779297,17.079999923706055
2020-02-24,155.54925537109375,106.6566390991211,14.412976264953613,25.030000686645508
2020-02-25,150.79660034179688,106.84166717529297,14.144596099853516,27.850000381469727
2020-02-26,149.96347045898438,106.73067474365234,14.005436897277832,27.559999465942383
2020-02-27,143.39309692382812,106.7491683959961,13.766877174377441,39.15999984741211
2020-02-28,142.4274444580078,107.53565979003906,13.52831745147705,40.11000061035156
2020-03-02,148.3256072998047,107.49761962890625,13.836457252502441,33.41999816894531
2020-03-03,144.50079345703125,108.23013305664062,13.866276741027832,36.81999969482422
2020-03-04,150.27589416503906,108.14668273925781,13.876216888427734,31.989999771118164
2020-03-05,145.26763916015625,108.4804458618164,13.727117538452148,39.619998931884766
2020-03-06,142.56942749023438,109.27783203125,13.279817581176758,41.939998626708984
2020-03-09,131.12338256835938,109.13876342773438,12.24605941772461,54.459999084472656
2020-03-10,137.62747192382812,107.90560913085938,12.633719444274902,47.29999923706055
2020-03-11,130.65945434570312,106.36647033691406,12.405098915100098,53.900001525878906
2020-03-12,117.95420837402344,102.1106948852539,11.908100128173828,75.47000122070312
2020-03-13,128.69021606445312,103.71473693847656,12.037320137023926,57.83000183105469
2020-03-16,114.04419708251953,105.44856262207031,11.311701774597168,82.69000244140625
2020-03-17,119.76249694824219,102.72265625,11.132781028747559,75.91000366210938
2020-03-18,112.86076354980469,98.80992889404297,10.765002250671387,76.44999694824219
2020-03-19,113.69390106201172,101.01661682128906,10.993621826171875,72.0
2020-03-20,109.05488586425781,102.01797485351562,10.87434196472168,66.04000091552734
2020-03-23,105.94956970214844,104.43792724609375,11.003561019897461,61.59000015258789
2020-03-24,116.0039291381836,105.30020141601562,11.242121696472168,61.66999816894531
2020-03-25,117.60391998291016,106.37576293945312,11.430980682373047,63.95000076293945
2020-03-26,124.74351501464844,106.70026397705078,11.391221046447754,61.0
2020-03-27,120.76651763916016,107.15457153320312,11.351461410522461,65.54000091552734
2020-03-30,124.42955017089844,107.2565689086914,11.32164192199707,57.08000183105469
2020-03-31,122.65038299560547,106.9691390991211,11.18248176574707,53.540000915527344
2020-04-01,116.98931121826172,106.60581970214844,10.864401817321777,57.060001373291016
2020-04-02,119.42498016357422,106.76380157470703,11.073142051696777,50.90999984741211
2020-04-03,117.388916015625,106.83812713623047,11.351461410522461,46.79999923706055
2020-04-06,125.5998306274414,107.35846710205078,11.411100387573242,45.2400016784668
2020-04-07,125.74258422851562,107.50714111328125,11.490621566772461,46.70000076293945
2020-04-08,130.15724182128906,107.60932922363281,11.460801124572754,43.349998474121094
2020-04-09,132.5929412841797,108.94737243652344,11.490621566772461,41.66999816894531
2020-04-13,131.0135498046875,108.43631744384766,11.689420700073242,41.16999816894531
2020-04-14,134.99057006835938,108.49207305908203,11.590020179748535,37.7599983215332
2020-04-15,131.82229614257812,108.9380874633789,11.351461410522461,40.84000015258789
